
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 458473236
DEBUG: Central density computed: - e_center=2.682640e-08
DEBUG: Central pressure computed: - p_center=3.854535e-12
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.9893165282 	0.0721318229 	5781.83057 	0.00000e+00 	8.23928e-01 	0.00000 	0.00000
0.995 	0.0 	0.9914085607 	0.0722843615 	5801.63344 	7.63197e-02 	8.20862e-01 	109957.16926 	0.97150
0.990 	0.0 	0.9934945655 	0.0724364606 	5821.60184 	1.07696e-01 	8.17785e-01 	110668.39124 	1.37398
0.985 	0.0 	0.9955771078 	0.0725883072 	5841.81099 	1.31628e-01 	8.14682e-01 	111384.14460 	1.68309
0.980 	0.0 	0.9976561271 	0.0727398967 	5862.26564 	1.51678e-01 	8.11550e-01 	112104.39867 	1.94389
0.975 	0.0 	0.9996777917 	0.0728873037 	5882.69187 	1.68965e-01 	8.08431e-01 	112819.24713 	2.17044
0.970 	0.0 	1.0016549817 	0.0730314669 	5903.51640 	1.84548e-01 	8.05251e-01 	113537.30719 	2.37629
0.965 	0.0 	1.0036842267 	0.0731794259 	5924.81216 	1.98989e-01 	8.02015e-01 	114263.67734 	2.56821
0.960 	0.0 	1.0057285137 	0.0733284817 	5946.37355 	2.12359e-01 	7.98753e-01 	114993.50356 	2.74707
0.955 	0.0 	1.0077776554 	0.0734778913 	5968.24665 	2.24855e-01 	7.95460e-01 	115726.69666 	2.91538
0.950 	0.0 	1.0098379139 	0.0736281115 	5990.41395 	2.36609e-01 	7.92134e-01 	116466.26732 	3.07478
0.945 	0.0 	1.0118810538 	0.0737770834 	6012.58722 	2.47571e-01 	7.88820e-01 	117207.90193 	3.22467
0.940 	0.0 	1.0138238323 	0.0739187363 	6034.86350 	2.57806e-01 	7.85494e-01 	117945.00655 	3.36616
0.935 	0.0 	1.0158341379 	0.0740653132 	6057.80222 	2.67759e-01 	7.82088e-01 	118695.36135 	3.50445
0.930 	0.0 	1.0178477080 	0.0742121279 	6081.20982 	2.77324e-01 	7.78629e-01 	119449.54286 	3.63826
0.925 	0.0 	1.0199146548 	0.0743628351 	6105.00690 	2.86550e-01 	7.75131e-01 	120213.96096 	3.76804
0.920 	0.0 	1.0219599452 	0.0745119629 	6129.09543 	2.95376e-01 	7.71602e-01 	120975.71176 	3.89308
0.915 	0.0 	1.0240281709 	0.0746627635 	6153.35134 	3.03818e-01 	7.68073e-01 	121750.92245 	4.01374
0.910 	0.0 	1.0260542229 	0.0748104884 	6177.95991 	3.11931e-01 	7.64500e-01 	122517.77006 	4.13052
0.905 	0.0 	1.0281027911 	0.0749598552 	6202.99732 	3.19783e-01 	7.60884e-01 	123300.71616 	4.24459
0.900 	0.0 	1.0301772995 	0.0751111136 	6228.52199 	3.27400e-01 	7.57219e-01 	124091.88802 	4.35597
0.895 	0.0 	1.0322345141 	0.0752611108 	6254.42923 	3.34772e-01 	7.53508e-01 	124877.93523 	4.46443
0.890 	0.0 	1.0343557977 	0.0754157803 	6280.62542 	3.41910e-01 	7.49791e-01 	125690.64204 	4.57048
